url,year,title,author,date,file_path
https://www.federalreserve.gov/newsevents/speech/files/bowman20240820a.pdf,2024,Remarks on the Economic Outlook and Financial Inclusion,Governor Michelle W. Bowman,2024-08-20,2024\Remarks on the Economic Outlook and Financial Incl_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20240823a.pdf,2024,Review and Outlook,Chair Jerome H. Powell,2024-08-23,2024\Review and Outlook_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240828a.pdf,2024,Interlinking Fast Payment Systems,Governor Christopher J. Waller,2024-08-28,2024\Interlinking Fast Payment Systems_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240906a.pdf,2024,The Time Has Come,Governor Christopher J. Waller,2024-09-06,2024\The Time Has Come_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240910a.pdf,2024,The Future of Stress Testing and the Stress Capital Buffer Framework,Governor Michelle W. Bowman,2024-09-10,2024\The Future of Stress Testing and the Stress Capita_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/barr20240910a.pdf,2024,The Next Steps on Capital,Vice Chair for Supervision Michael S. Barr,2024-09-10,2024\The Next Steps on Capital_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240920a.pdf,2024,Statement by Governor Michelle W. Bowman,Governor Michelle W. Bowman,2024-09-20,2024\Statement by Governor Michelle W. Bowman_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/kugler20240925a.pdf,2024,How We Got Here:  A Perspective on Inflation and the Labor Market,Governor Adriana D. Kugler,2024-09-25,2024\How We Got Here  A Perspective on Inflation and th_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240926a.pdf,2024,What Will Artificial Intelligence Mean for America’s Workers?,Governor Lisa D. Cook,2024-09-26,2024\What Will Artificial Intelligence Mean for America_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/barr20240926a.pdf,2024,Supporting Market Resilience and Financial Stability,Vice Chair for Supervision Michael S. Barr,2024-09-26,2024\Supporting Market Resilience and Financial Stabili_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240930a.pdf,2024,Recent Views on Monetary Policy and the Economic Outlook,Governor Michelle W. Bowman,2024-09-30,2024\Recent Views on Monetary Policy and the Economic O_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20241001a.pdf,2024,"Artificial Intelligence, Big Data, and the Path Ahead for Productivity",Governor Lisa D. Cook,2024-10-01,"2024\Artificial Intelligence, Big Data, and the Path Ah_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20241002a.pdf,2024,Building a Community Banking Framework for the Future,Governor Michelle W. Bowman,2024-10-02,2024\Building a Community Banking Framework for the Fut_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/jefferson20241008a.pdf,2024,A History of the Fed's Discount Window: 1913–2000,Vice Chair Philip N. Jefferson,2024-10-08,2024\A History of the Fed's Discount Window 1913–2000_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/kugler20241008a.pdf,2024,The Global Fight Against Inflation,Governor Adriana D. Kugler,2024-10-08,2024\The Global Fight Against Inflation_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/jefferson20241009a.pdf,2024,The Fed's Discount Window: 1990 to the Present,Vice Chair Philip N. Jefferson,2024-10-09,2024\The Fed's Discount Window 1990 to the Present_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20241010a.pdf,2024,"Entrepreneurs, Innovation, and Participation",Governor Lisa D. Cook,2024-10-10,"2024\Entrepreneurs, Innovation, and Participation_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20241011a.pdf,2024,Challenges to the Community Banking Model,Governor Michelle W. Bowman,2024-10-11,2024\Challenges to the Community Banking Model_2024.pdf
